RegionName,SizeRank,Complaint Score,Gentrification Score,Population,Population Density,median_income,median_property_prices
11368,4,65.48017966633395,5.0,110385.0,41367.1,54211.0,449507.1062520507
11385,7,65.9418164038626,7.0,100132.0,27472.6,75340.0,521733.9198827932
11208,9,63.09332128481065,5.0,92262.0,26694.6,42403.0,408125.30053404305
11236,16,65.15228426395939,5.0,97714.0,26919.9,70793.0,384219.9499419887
10467,17,58.28563210125126,5.0,99251.0,42589.3,39372.0,234563.56554014946
11373,18,64.93652561247217,5.0,100713.0,65936.5,54584.0,460527.7886483157
11226,19,58.39983275594314,6.0,98299.0,76237.1,58257.0,647366.0618913965
11207,20,61.72694753577107,5.0,93465.0,34994.6,39382.0,336358.2518954963
10025,29,58.067469583384536,7.0,97373.0,129548.9,91624.0,1124201.5047061292
11214,32,67.10979610967892,6.0,88297.0,40359.9,56911.0,564952.778993166
11234,36,67.97790098391378,6.0,95610.0,11415.9,85807.0,469375.3562316019
10314,39,66.56796536796537,5.0,87524.0,6095.5,91505.0,400220.26284451643
11219,43,67.92528352234824,6.0,98719.0,66609.4,40683.0,828795.408222859
11206,47,59.65094775774387,7.0,83180.0,57987.2,39753.0,783261.5731346989
11221,48,59.40480591497227,8.0,83773.0,60559.1,56900.0,729817.2942907878
10456,49,56.96549198339709,5.0,91737.0,90074.7,27917.0,297069.8069833752
11223,54,66.52707025233977,6.0,76651.0,36953.7,54023.0,600069.9002857872
10458,63,56.734457004440856,5.0,76276.0,75597.1,35423.0,251284.3167869779
11377,66,66.17893135577106,6.0,88939.0,34924.5,58948.0,414586.55237823026
11235,73,66.94351790082277,6.0,75622.0,31000.3,54646.0,562407.2358896101
11229,76,67.70142495671861,6.0,81351.0,36715.2,64631.0,380429.3286939246
11233,81,60.02300884955752,6.0,69637.0,51663.6,44905.0,592076.541435465
11204,91,68.01890534108936,6.0,80349.0,50567.5,53093.0,641215.2388795521
11355,100,68.52407536636427,6.0,83799.0,48298.2,42507.0,547564.8978493167
11203,103,64.2379980668027,6.0,77011.0,35892.5,54457.0,493811.1261923174
10457,107,58.060973300511264,5.0,71015.0,66913.8,29767.0,160232.08531746818
10452,112,57.20727339516944,5.0,75252.0,76427.7,29579.0,233442.4158930605
10469,121,65.11336440357728,5.0,72241.0,29168.0,65399.0,437051.82828172075
10029,122,57.6264690853347,6.0,77857.0,94363.1,33720.0,780104.2801735362
11218,125,65.730282375852,6.0,75132.0,52602.7,73470.0,681528.204634832
10462,128,61.02335509794073,5.0,76114.0,51271.5,54278.0,199040.10221288865
10002,139,58.72396784800877,8.0,79894.0,90849.3,36982.0,997669.891322855
10466,142,62.968636032093364,5.0,69657.0,34477.3,58393.0,344398.71546173486
11375,143,64.88140703517588,6.0,69652.0,35171.0,84713.0,470268.0832556129
11691,157,59.9656235182551,5.0,62577.0,21824.8,50267.0,317010.8509094674
11215,172,63.79315203607158,8.0,70156.0,31902.9,132091.0,1148904.459753918
10463,183,59.442450495049506,6.0,71238.0,45091.8,58408.0,350932.0856576299
11209,188,65.90059302442457,8.0,72582.0,33569.8,77917.0,472003.266077406
11213,217,58.580690098585514,6.0,62756.0,57520.9,44831.0,584551.5633911865
11201,222,62.15596330275229,9.0,56488.0,39596.1,129248.0,1379760.9272686355
11372,255,60.69985334854163,5.0,63202.0,85703.2,60659.0,462875.69689065556
11432,260,64.3571686529433,6.0,62395.0,29032.7,62148.0,243100.39866823494
10027,262,56.9635803063879,6.0,63057.0,72357.3,51938.0,831406.3914255332
11211,295,60.05929528197253,9.0,94681.0,39908.0,81228.0,1020218.4905487862
10024,369,60.592776760010466,8.0,59249.0,69066.6,143623.0,1684793.7493409559
10032,388,55.9051043676548,5.0,59069.0,89842.8,53525.0,604718.5284667632
11216,412,58.09800378592325,7.0,54440.0,58197.9,67795.0,832599.1637542488
10023,423,62.24145486415425,8.0,60762.0,123875.9,132605.0,1607620.8897608712
10033,442,56.6759091393836,5.0,60520.0,100108.6,63093.0,690441.0659483338
11238,447,59.500698610996956,8.0,51959.0,46994.1,91846.0,1092030.4345638242
11435,460,65.244999224686,5.0,54523.0,35998.7,66137.0,285833.3725250118
10031,476,54.835550628233555,5.0,58912.0,90523.6,53660.0,518616.03917646944
11225,491,57.58661022613345,6.0,59613.0,67444.4,59820.0,678987.035268486
10128,499,59.39370078740158,5.0,62447.0,132677.4,121829.0,1254148.2937503115
10473,502,62.38768251591164,5.0,59948.0,27434.5,41508.0,359738.5094397597
10009,531,58.1388147357181,8.0,61806.0,100237.0,63717.0,1027259.4563099244
11354,652,66.3005711565921,7.0,56433.0,25657.8,40786.0,572733.8070198101
