SizeRank_x,State,City,Metro,CountyName,1/31/2012 0:00,2/29/2012 0:00,3/31/2012 0:00,4/30/2012 0:00,5/31/2012 0:00,6/30/2012 0:00,7/31/2012 0:00,8/31/2012 0:00,9/30/2012 0:00,10/31/2012 0:00,11/30/2012 0:00,12/31/2012 0:00,1/31/2013 0:00,2/28/2013 0:00,3/31/2013 0:00,4/30/2013 0:00,5/31/2013 0:00,6/30/2013 0:00,7/31/2013 0:00,8/31/2013 0:00,9/30/2013 0:00,10/31/2013 0:00,11/30/2013 0:00,12/31/2013 0:00,1/31/2014 0:00,2/28/2014 0:00,3/31/2014 0:00,4/30/2014 0:00,5/31/2014 0:00,6/30/2014 0:00,7/31/2014 0:00,8/31/2014 0:00,9/30/2014 0:00,10/31/2014 0:00,11/30/2014 0:00,12/31/2014 0:00,1/31/2015 0:00,2/28/2015 0:00,3/31/2015 0:00,4/30/2015 0:00,5/31/2015 0:00,6/30/2015 0:00,7/31/2015 0:00,8/31/2015 0:00,9/30/2015 0:00,10/31/2015 0:00,11/30/2015 0:00,12/31/2015 0:00,1/31/2016 0:00,2/29/2016 0:00,3/31/2016 0:00,4/30/2016 0:00,5/31/2016 0:00,6/30/2016 0:00,7/31/2016 0:00,8/31/2016 0:00,9/30/2016 0:00,10/31/2016 0:00,11/30/2016 0:00,12/31/2016 0:00,1/31/2017 0:00,2/28/2017 0:00,3/31/2017 0:00,4/30/2017 0:00,5/31/2017 0:00,6/30/2017 0:00,7/31/2017 0:00,8/31/2017 0:00,9/30/2017 0:00,10/31/2017 0:00,11/30/2017 0:00,12/31/2017 0:00,1/31/2018 0:00,2/28/2018 0:00,3/31/2018 0:00,4/30/2018 0:00,5/31/2018 0:00,6/30/2018 0:00,7/31/2018 0:00,8/31/2018 0:00,9/30/2018 0:00,10/31/2018 0:00,11/30/2018 0:00,12/31/2018 0:00,1/31/2019 0:00,2/28/2019 0:00,3/31/2019 0:00,4/30/2019 0:00,5/31/2019 0:00,6/30/2019 0:00,7/31/2019 0:00,8/31/2019 0:00,9/30/2019 0:00,10/31/2019 0:00,11/30/2019 0:00,12/31/2019 0:00,1/31/2020 0:00,2/29/2020 0:00,3/31/2020 0:00,4/30/2020 0:00,5/31/2020 0:00,6/30/2020 0:00,7/31/2020 0:00,8/31/2020 0:00,9/30/2020 0:00,10/31/2020 0:00,11/30/2020 0:00,12/31/2020 0:00,1/31/2021 0:00,2/28/2021 0:00,3/31/2021 0:00,4/30/2021 0:00,5/31/2021 0:00,6/30/2021 0:00,7/31/2021 0:00,8/31/2021 0:00,9/30/2021 0:00,10/31/2021 0:00,11/30/2021 0:00,12/31/2021 0:00,1/31/2022 0:00,2/28/2022 0:00,3/31/2022 0:00,4/30/2022 0:00,5/31/2022 0:00,6/30/2022 0:00,7/31/2022 0:00,8/31/2022 0:00,9/30/2022 0:00,10/31/2022 0:00,11/30/2022 0:00,12/31/2022 0:00,1/31/2023 0:00,2/28/2023 0:00,3/31/2023 0:00,4/30/2023 0:00,5/31/2023 0:00,6/30/2023 0:00,7/31/2023 0:00,8/31/2023 0:00,9/30/2023 0:00,Complaint Score,Gentrification Score,Population,Population Density,median_income,median_property_prices,Predicted_Values
4,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,254235.7085,254413.9949,255350.2229,256763.1126,257924.6527,259082.7017,261892.0523,264200.4471,264639.9863,262466.4085,260898.9149,260772.461,262240.3687,263475.4525,264569.6045,264873.5041,265369.4224,267388.5418,271029.6154,273577.7636,275232.058,276467.7743,279983.8841,282773.4325,286291.7846,289843.9942,293938.586,296025.2145,298447.5686,300920.1701,305720.0307,309259.4913,312361.9246,315116.9594,318917.1858,322628.8196,326541.7722,329903.4627,334071.2095,336546.3392,338595.613,339231.9687,341442.2769,343906.3543,347986.0057,351758.1517,355801.282,360603.6542,365552.4952,371447.6678,375876.8507,379887.9084,382786.3864,386231.963,388752.896,391057.1309,393046.3137,394280.8467,396136.0754,399181.5913,403811.7453,411723.9716,419094.0406,427413.1326,429851.8282,430872.7267,429164.889,430086.528,426919.8083,425819.5606,425679.7282,432726.9813,440985.2559,444917.3395,447970.672,450184.8499,455735.8838,458483.8275,459638.7476,460374.4222,462462.3817,463585.4359,462339.8546,459771.6873,458757.6278,459106.483,459893.8426,459175.7414,460202.2133,462863.2761,467917.6094,472440.4241,475642.4093,476582.2196,480346.0231,483812.8167,488196.9236,488429.7111,486172.393,483865.0697,483253.9055,482290.3899,476498.5209,467454.1177,461400.9938,461261.2411,463683.7425,467631.9021,470471.323,473953.9489,476442.718,475114.3584,472909.222,468248.7335,466442.1727,465296.2003,465372.2758,466679.2015,466670.5411,465213.7376,462441.8609,461850.0386,464285.8538,467765.9433,468810.8019,469076.1017,468067.6529,463663.6713,457280.4142,451403.1205,447611.092,441281.0385,432134.4864,422213.9996,412368.5453,400038.5221,386341.5203,374206.5796,367937.6992,365487.6922,364072.2828,65.48017967,5,110385,41367.1,54211,449507.1063,365480.683
7,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,265216.2545,264492.0142,264191.7952,264144.8754,265847.8199,268903.7937,272889.747,275251.5428,276588.0179,277694.9935,278350.145,278012.6653,277768.3676,279336.0901,281070.5752,282110.7507,281931.5591,283972.3114,286609.2665,289373.0284,292908.0534,297002.6953,301714.7913,302902.8762,303077.7141,303201.0612,304879.7326,307506.3405,310900.1967,314889.0741,318152.0193,320435.4596,322749.7428,326203.6844,329925.7625,331819.5756,331222.7055,329130.0479,328096.9126,328708.5407,330884.4507,333315.3583,335611.6464,338763.6475,343004.3546,348509.6193,353727.5803,359555.6699,365107.1513,371413.8487,376621.8927,382075.0153,386621.7074,391688.0148,395239.9067,398799.3713,401166.2287,403529.7281,405413.4836,408667.8766,412711.8804,418475.7269,424317.0734,431445.3863,437297.4603,441840.7575,444729.4274,447317.7702,449672.8953,451657.7709,452705.6789,453945.0713,455980.72,459213.8072,462920.252,465469.1114,466911.6371,467527.5438,469031.5309,471977.1339,475803.3751,478999.8054,481312.9839,481785.6982,484756.6645,488225.4697,494334.9164,499553.3462,505194.46,510126.0507,513333.2795,514899.1856,514756.2473,514450.1205,515072.1724,516759.6183,517357.2586,516199.5801,513536.7578,510752.0916,509615.2164,508685.5964,508042.5282,504818.5003,501237.2099,497615.9391,495602.273,494428.9,495517.0486,497659.6022,500746.2905,502598.4451,505820.179,508910.8797,512301.4283,514281.6407,515521.8201,518359.6756,522285.2429,525147.1393,524504.0318,521764.8381,519320.493,519143.4592,519540.1373,521703.0017,522466.2429,521289.6648,518347.9543,516290.1776,517150.9695,519352.605,521349.0781,522437.2114,523595.2631,525785.9379,528336.6095,530185.3201,533116.2982,536728.4684,540077.3512,65.9418164,7,100132,27472.6,75340,521733.9199,539776.245
9,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,258467.5602,257382.1798,256141.1797,256187.3852,256955.2376,256463.1744,254940.0418,253759.1011,254768.0538,256912.9695,258569.6648,259296.1328,260145.217,262025.9931,263575.8955,265924.2549,266832.2561,267079.8328,264538.0075,262511.6674,264387.7955,269084.4525,274805.8053,277725.8291,280274.7527,282389.6413,285641.4106,289789.5564,295143.1117,298231.706,298922.2089,297593.4179,298213.6608,299394.6993,301125.6374,302048.7727,300797.6286,299488.4831,299139.4584,302368.2348,305451.3311,306262.3291,306462.0617,308199.8672,312819.0869,318677.8415,323394.0657,328008.0377,330941.3431,333606.2724,335351.2684,338033.9802,339765.6002,340462.2084,339556.4897,340032.7358,340580.3586,341714.9593,343414.2278,347653.2657,351802.4074,355885.9754,358274.7294,362411.1372,366491.552,370787.3503,374149.706,377891.4696,381515.2604,385420.4647,386553.3347,387148.94,386487.5582,388161.2641,390732.2025,393245.8165,394858.3199,395965.6546,398262.8151,401583.0729,404859.8808,407364.9868,410244.1852,411796.7622,413879.0894,415037.0318,416708.9434,417385.9463,417889.7543,419209.1851,419539.3637,417559.6894,413821.4658,410413.7684,409981.3625,410508.6107,412699.1525,414620.0108,416601.5502,417124.0464,417152.2036,417016.5775,415494.4498,411382.4826,405840.4828,401828.9535,399848.8134,398329.2758,397572.3331,396963.3084,398453.2212,399889.7599,402551.3422,404062.9697,407604.3672,412949.21,420195.7702,427751.4193,432975.8558,436396.5913,433752.4088,427893.0193,419576.0188,413713.7147,410329.2081,409669.3941,409015.6504,407234.9507,403385.3214,399783.3562,398396.23,399302.0551,400137.6617,397366.8699,394629.619,396063.8352,404676.8096,414895.1315,421068.9207,422478.2093,420776.5396,63.09332128,5,92262,26694.6,42403,408125.3005,422425.8927
16,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,196988.0534,196924.0507,196364.56,195633.1565,195167.2282,194763.1431,194850.1458,195208.3278,196229.8546,197118.8624,198632.8536,200188.1586,202176.5792,203435.527,203747.489,203438.7493,203174.4913,204113.3868,205143.8765,206310.031,208460.2293,210297.3775,212766.5815,214473.8555,216452.8525,217392.9192,217163.8888,217140.1567,217265.5195,216782.6773,216421.9467,215483.1155,216159.3587,216989.9589,219477.4201,221280.106,221502.8552,219698.9862,217367.4951,216509.7033,216061.979,215631.1326,215209.7737,215516.9333,217407.5343,219824.9321,222791.928,225306.341,226879.2963,227818.8875,229026.5322,231177.3278,234362.0842,237430.5715,240187.8704,242189.2324,243258.6981,243671.504,244593.703,246845.4661,249155.0161,251075.9767,252389.3085,254364.3319,256604.6226,258962.3734,261647.7024,264323.3774,267090.3092,269252.1646,269747.2674,269667.4597,270087.1447,272965.7946,276602.7007,279292.2563,281049.6483,282862.9455,285400.6504,287882.7216,289984.0736,291775.4159,292823.7535,293748.8049,297470.557,303665.0997,310785.9567,315830.7586,319729.9499,323873.3404,327708.0257,331097.6264,332863.1739,334731.2842,337800.8874,341776.6043,344579.6918,345620.5489,345806.3592,346486.0883,346726.0649,346094.3841,343113.1689,339361.4771,336527.5838,335514.9367,336022.1505,336871.5223,339028.5006,341118.3274,344075.4361,346944.0137,350976.0187,354197.3233,356133.4348,356588.1093,356342.3892,357662.6796,359691.8793,361865.5128,365579.5916,370760.2013,377002.4791,381040.3695,382625.2313,384473.687,386292.6955,387958.2906,387394.0181,386406.0296,386000.7447,386139.2946,383966.2129,379460.1239,374605.5083,375432.1838,381723.3355,391147.0171,399680.9898,405268.5107,408301.7737,65.15228426,5,97714,26919.9,70793,384219.9499,409296.2245
17,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,166783.3775,167844.5094,170657.4474,176874.1182,183138.3017,188412.412,191668.4078,191664.4319,191020.3558,191046.9348,192368.7618,193377.2611,193643.9308,192694.1016,190444.5841,188039.421,187807.5928,189173.1676,190669.8959,191185.1144,190930.6795,191939.7972,193656.3545,195746.518,196443.0269,195277.3397,192112.8637,189064.4176,187679.6485,187374.9292,187509.2057,186675.1708,186323.5973,186693.5777,187691.2319,187526.1634,184978.3911,180407.7015,176327.8614,173294.3841,172258.0762,172304.0693,172588.5714,173742.6263,175895.3564,179955.5384,183908.1689,188514.2046,193237.2868,197023.2954,198647.4182,198495.5928,198534.4407,199325.8678,199970.1853,200980.7684,202852.9588,205519.4089,208219.3466,209922.5107,211110.6755,212469.7332,213820.6405,215979.0977,216467.5879,216719.2228,215352.3424,215663.1965,214895.4009,217750.6686,220655.0798,225017.1127,227820.1852,228346.119,227648.8071,227293.1359,227590.3788,227248.8724,226241.2525,225369.2116,226581.9394,226334.7044,226553.0983,226699.2262,226671.7117,224919.2001,220546.8325,215609.5502,211967.0216,209813.6582,207754.005,206339.3801,204734.4394,204928.4278,207595.895,210736.5797,214600.196,215998.1985,216386.7475,215724.1623,215001.2886,214958.99,215465.5196,216198.3298,218286.7784,219917.1308,221917.9126,224765.0233,229239.3089,235413.8544,242455.3694,247880.4576,251855.0114,252614.3337,250015.4191,244745.0176,237778.936,234075.7588,231239.1707,229536.6165,230162.3602,235343.2989,243508.6913,249478.8381,251164.7166,251205.4844,249459.2975,246456.0869,241284.7067,237164.6932,234813.8077,234313.3234,231261.2867,228307.7671,225675.7604,226940.3333,227792.8575,227971.1415,228663.0731,230856.3683,233255.9908,58.2856321,5,99251,42589.3,39372,234563.5655,234448.9009
18,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,281442.6471,282666.4037,284607.173,287399.4859,291048.3667,295242.2017,300678.454,304257.27,304525.7461,301063.2358,297865.1025,296509.8311,297116.908,298886.7549,300867.6761,303212.1324,305356.9711,309805.191,315280.628,319571.8218,321246.8905,320421.6795,320866.3667,321882.3968,323550.7757,325036.9192,327694.9717,331811.2686,337105.1797,341250.3941,344937.5512,346665.5015,347349.8885,349307.5337,353076.5298,356456.6577,355826.7109,353172.1296,351175.975,350882.2338,351172.0627,351617.4939,352747.5739,354316.1729,355659.3998,357763.1624,360441.2511,364744.8686,367129.7942,368836.7022,369541.9339,371659.3359,373892.6748,377996.1303,381987.5672,386714.5536,389450.3668,391389.4552,392526.3856,395959.8329,399455.3796,404910.0894,408821.5675,414010.378,416023.1272,416212.8443,413489.2732,412737.4374,411194.4897,414481.1899,419800.3542,430005.9246,441600.2275,450109.7011,457035.3316,461504.5851,466976.994,470921.6142,474373.1273,478501.9548,485360.7882,489792.7542,490588.1602,487701.5051,488225.8668,492821.13,499732.1962,504636.5755,508068.1904,510995.9363,515955.5451,520891.4666,524022.514,524505.2819,526886.9159,528542.5803,531401.3632,530745.1991,527995.821,523981.5559,520905.8825,520472.9961,514641.8512,504905.637,495086.8522,489942.3827,486378.6461,483592.3143,479938.0109,479058.6913,479649.4362,480032.8408,480427.9545,478403.2762,479084.6332,479229.208,478918.0553,477988.5317,475936.4277,474099.0036,473434.3075,476450.8957,481317.681,484965.1656,485675.2472,487363.9997,486160.6346,480867.4939,471544.2179,463577.1457,457478.4316,451668.98,445408.6285,443771.9813,445661.7818,445614.7899,439724.2642,428124.7904,419580.9182,413011.7291,409090.3085,64.93652561,5,100713,65936.5,54584,460527.7886,408823.3042
19,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,239360.5866,238457.6566,238823.9178,242273.0762,245180.2832,246539.7785,247883.0604,250115.1169,253339.9139,255669.8628,257138.0198,259147.6485,262973.885,266141.3209,266932.8453,265772.0899,264371.8005,263669.4984,262388.237,262696.5762,264950.6061,268578.9159,271967.2255,275329.7904,279693.9712,284475.6779,289222.0387,293714.4182,298268.0721,300986.4357,303668.1509,305850.7008,309962.4965,313713.0406,317987.5905,322398.1152,325570.005,327586.8794,328462.2667,330671.2167,335046.281,339520.7896,343147.2021,345687.6774,349926.7781,356193.4253,364010.7957,373083.0848,381028.2696,387255.2383,391607.9264,396382.7286,400737.5695,403434.8656,403790.3784,403334.3656,402144,401062.4766,401272.8643,403557.2391,406516.5253,410228.6528,413936.2676,419737.8207,424295.9261,430574.8418,436270.0734,444630.4407,452622.1505,461686.4576,467719.6152,474069.6589,483357.4006,492227.5749,499001.1878,503174.7866,507967.3769,512569.2433,517464.5727,523463.0359,532486.3164,537238.0513,538794.94,535701.0425,537451.2623,547320.7853,560204.943,569648.897,576566.0493,583505.5012,592641.8987,595180.7477,594801.4715,592170.5401,595320.0018,598114.8002,604101.5256,606579.6262,609593.1229,611641.1846,613359.8911,615395.2851,612496.0922,607439.5348,603156.2097,602443.0039,603404.9846,606452.2961,607888.777,612846.0868,617538.3248,624455.8834,630943.6063,633264.6213,636271.6982,638742.1732,641075.7631,642502.8284,645016.6641,648754.9191,652526.4532,655985.0413,663649.2491,670095.4855,676218.545,678489.1504,676619.2587,669113.5768,658155.3537,650936.6612,643795.4626,638283.1128,627632.3297,617393.9422,605535.18,597661.4985,591675.9805,588621.1435,586765.6668,585808.7719,582932.7829,58.39983276,6,98299,76237.1,58257,647366.0619,585001.8576
20,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,218895.0204,219383.9459,219099.5314,218390.727,218029.5731,218195.5906,219514.3566,220332.0466,220242.8674,219513.9968,219220.5936,219891.1528,221439.9909,223730.6632,225318.2903,226059.7577,225766.5941,226218.3897,226442.1447,226081.7499,225927.7732,227015.8805,229240.0202,231578.5057,233292.3622,235333.5926,237662.0541,240897.2207,244732.0972,247574.5385,250312.2495,251547.2625,252519.2551,252244.657,252904.2825,254451.5961,255676.7564,256405.4442,257249.3951,258540.7551,259996.9126,260902.4542,262301.7337,264456.8424,267068.6549,270919.2438,273660.5787,276804.4985,278408.3791,279586.0088,279548.5462,279481.1782,279401.6875,279188.3081,278401.0039,277458.1329,276871.8366,276950.4928,278667.9952,281511.9604,283826.6769,286066.5469,288044.136,291616.0529,294821.499,297214.9871,298502.4903,299948.7718,301475.0576,303267.2012,303612.158,304268.5864,305374.7182,307212.983,309231.5986,310585.1032,311982.6227,312819.9404,314254.945,316158.4956,319621.7526,322439.0601,324647.2505,326395.4764,328049.7687,329178.5055,328938.2533,328719.2646,329465.3306,331439.133,334088.5446,335559.7577,335250.3773,334108.667,334855.9146,336939.1765,338833.0645,338894.3115,338094.378,337311.9626,338265.5261,338883.7365,339321.2899,337918.3648,337793.805,337615.6927,337531.3854,336524.5974,335599.9972,334365.3133,333693.9934,333180.6651,334067.0574,334433.6229,334766.2792,334851.0051,335153.4309,336639.8161,338069.209,339021.9536,338269.5142,337265.4206,336418.1941,336434.372,336732.8609,337388.8362,337594.5132,336298.3097,334404.1349,332438.5598,332148.9164,332232.4346,330773.2634,328028.708,325829.0549,328522.0313,334823.4251,343432.6546,350679.8197,356361.2217,360096.3512,61.72694754,5,93465,34994.6,39382,336358.2519,361159.1349
29,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,754209.6957,755046.5993,752456.9031,748232.1316,745003.9908,745753.3945,746298.9234,748785.0472,753621.5743,760179.1504,769007.4925,777059.6576,788162.7167,794950.7005,798163.4669,797464.2481,795598.8066,794695.9746,792217.9759,792825.9776,800814.9877,817095.6062,833647.1412,846674.2997,859185.3711,873843.1622,884840.0225,891305.1568,896423.9821,903318.9701,907044.2308,908099.8572,913092.2585,927196.0617,947766.7695,966239.4636,976309.8068,978902.4353,973062.4807,964112.3506,956319.9966,955140.6372,956529.5168,960505.7332,963524.4988,972968.2828,982028.6797,992480.7153,1001024.54,1010712.994,1019761.875,1025463.641,1028756.183,1032586.36,1034582.461,1032023.808,1024973.091,1020569.901,1017985.219,1020081.596,1020793.671,1027292.24,1034429.559,1047375.213,1051996.324,1058611.654,1057967.272,1062457.237,1058609.216,1056689.606,1045056.227,1039856.019,1039522.971,1042038.928,1046859.469,1056953.467,1072722.963,1088872.938,1097802.073,1104350.775,1117359.391,1129146.756,1134551.229,1130240.011,1116742.943,1108553.686,1094162.388,1087204.929,1086296.22,1089858.602,1100456.31,1102700.637,1100704.06,1091777.797,1097766.34,1103855.048,1113675.744,1110149.921,1110046.136,1105117.598,1104187.272,1097094.145,1087800.009,1076463.962,1076768.954,1079856.636,1082036.043,1081895.385,1082878.174,1087344.601,1090730.816,1089853.822,1090834.927,1091152.812,1098038.403,1104029.095,1106650.399,1110436.165,1118027.22,1128132.359,1137996.077,1146653.737,1171492.307,1192523.755,1214275.548,1222625.766,1218055.321,1196374.711,1162544.143,1136165.008,1112238.001,1090012.214,1068269.012,1052756.678,1041853.38,1034098.074,1031750.003,1030245.337,1028712.872,1022947.145,1018005.627,58.06746958,7,97373,129548.9,91624,1124201.505,1014482.499
32,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,418854.1322,420630.1752,421362.8417,421733.416,421761.5113,421882.4585,423495.2631,424723.0799,426857.1215,429395.1659,432987.1188,436276.4045,439882.2884,444498.3074,447954.0345,449374.0068,449522.6096,451268.2067,454790.1229,458276.8721,463307.1763,468361.1834,474027.5834,476903.2436,479894.0359,483777.262,489766.987,494886.0008,500362.5019,503917.1354,507440.7213,506734.4453,507608.8788,509630.0017,514578.1633,518003.4087,517474.8533,515067.2131,512879.8362,512621.8995,514059.4678,515441.7353,518616.0523,521671.5492,525723.5028,531596.3703,538170.9815,544442.5622,547205.2366,548670.4269,550789.4573,555089.8676,560754.8976,566584.5944,572279.2935,576618.9257,578192.4615,578032.4622,578993.4693,582080.7993,584654.9366,589751.1086,595742.9441,606607.1894,612404.5251,615860.0778,612744.2809,611984.781,610745.1222,615871.2986,619569.7223,624863.9121,629073.4127,631037.8074,633915.7827,638755.581,647299.4451,653886.324,658887.3905,663671.7418,672412.8286,678147.2012,679243.5538,675075.318,668877.0704,664748.1669,657520.8204,649663.55,643466.0551,641937.4035,643661.1501,642742.0961,639878.9579,634629.6896,637191.9033,641880.1608,649461.6198,649571.522,646761.6465,643315.3315,640404.3523,640310.9395,635446.1458,628118.8548,621815.0763,618498.9943,618600.9823,617979.3848,617279.4716,620427.2825,626366.6091,631523.8041,633695.2953,629142.822,621271.7767,608773.1429,596202.2689,588261.9892,584188.5855,582421.9296,581053.9448,582594.1963,586346.3705,589969.5496,590243.4848,589116.9186,587310.6776,583104.4835,576245.4349,568383.4683,561522.0897,555647.0862,545485.1224,535980.0995,527722.4246,527088.0282,528746.0043,530125.0735,531328.9549,531895.5496,531393.2372,67.10979611,6,88297,40359.9,56911,564952.779,532052.0702
