SizeRank,ZipCode,State,City,Metro,CountyName,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-03-31 00:00:00,2012-04-30 00:00:00,2012-05-31 00:00:00,2012-06-30 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-09-30 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-03-31 00:00:00,2013-04-30 00:00:00,2013-05-31 00:00:00,2013-06-30 00:00:00,2013-07-31 00:00:00,2013-08-31 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-11-30 00:00:00,2013-12-31 00:00:00,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-31 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-31 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-30 00:00:00,2014-12-31 00:00:00,2015-01-31 00:00:00,2015-02-28 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-31 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-31 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-31 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-30 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-31 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-31 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-30 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-30 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00,2018-10-31 00:00:00,2018-11-30 00:00:00,2018-12-31 00:00:00,2019-01-31 00:00:00,2019-02-28 00:00:00,2019-03-31 00:00:00,2019-04-30 00:00:00,2019-05-31 00:00:00,2019-06-30 00:00:00,2019-07-31 00:00:00,2019-08-31 00:00:00,2019-09-30 00:00:00,2019-10-31 00:00:00,2019-11-30 00:00:00,2019-12-31 00:00:00,2020-01-31 00:00:00,2020-02-29 00:00:00,2020-03-31 00:00:00,2020-04-30 00:00:00,2020-05-31 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-08-31 00:00:00,2020-09-30 00:00:00,2020-10-31 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-07-31 00:00:00,2021-08-31 00:00:00,2021-09-30 00:00:00,2021-10-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-04-30 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-07-31 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2022-12-31 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-03-31 00:00:00,2023-04-30 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-09-30 00:00:00,incident_count
4,11368,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,254235.70851907483,254413.9948855302,255350.22285623345,256763.1125833346,257924.6527185552,259082.7017118996,261892.05226012497,264200.44713707565,264639.9862915968,262466.40851830086,260898.91487859908,260772.4610249529,262240.36865972244,263475.45247284137,264569.60448323586,264873.5040687497,265369.4223702412,267388.54180740454,271029.6154241411,273577.76363636146,275232.05804419646,276467.7742839379,279983.88407464087,282773.4324799537,286291.7845527727,289843.99421588035,293938.5859672647,296025.2144503024,298447.5685551432,300920.1701011714,305720.0306878744,309259.4913352443,312361.9245501948,315116.9594225701,318917.1858014452,322628.8195712708,326541.7722350458,329903.4626811268,334071.2094613285,336546.3391542867,338595.6130298938,339231.96874009096,341442.2769204093,343906.3543129782,347986.00568875205,351758.1516547838,355801.2820425098,360603.65416683047,365552.4951848241,371447.6678054302,375876.85074543016,379887.9083591644,382786.3864042326,386231.96301834285,388752.89598057815,391057.130907482,393046.3137261613,394280.8467230675,396136.0754186306,399181.5912777365,403811.7452945655,411723.97162871686,419094.0406401631,427413.13262373535,429851.8281573632,430872.72672065935,429164.8890023795,430086.5279633373,426919.8082590022,425819.5606381229,425679.7282064625,432726.9813161485,440985.2558576118,444917.33949020685,447970.6720147383,450184.84987713565,455735.8837824172,458483.8275473836,459638.74759962485,460374.42224256735,462462.381702727,463585.43592828064,462339.8545996433,459771.6873049352,458757.627750058,459106.4829883138,459893.8426003464,459175.7414377823,460202.2133080938,462863.2760817776,467917.6094102931,472440.42411566206,475642.40932345873,476582.2196046469,480346.0231103464,483812.8166994042,488196.9236454936,488429.7111272065,486172.3930435343,483865.0697304914,483253.905471599,482290.38990209607,476498.52091305377,467454.1177324594,461400.993764192,461261.2410824671,463683.74245608057,467631.90208294586,470471.3230293766,473953.9488736976,476442.7179989085,475114.3583750862,472909.2219781136,468248.7335219509,466442.1727278853,465296.2003087814,465372.2758241247,466679.2014955618,466670.5410826831,465213.73762584646,462441.86090044817,461850.0386000091,464285.8537630271,467765.9432842306,468810.8018993608,469076.1017037898,468067.6528761301,463663.67132901336,457280.4141939687,451403.1204580109,447611.0920460906,441281.03852440417,432134.4864145287,422213.99962455424,412368.5452960839,400038.522083316,386341.5203030741,374206.5795752197,367937.69921921816,365487.69216223486,364072.2828128999,12.0
7,11385,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,265216.25449502445,264492.0141687241,264191.7951592708,264144.8753937555,265847.81994844665,268903.79365981097,272889.7470168394,275251.5427982256,276588.0178955814,277694.9934946973,278350.1449609108,278012.6653395963,277768.3675541315,279336.0901083246,281070.57521957514,282110.7507454384,281931.5591072522,283972.3113828471,286609.2665405216,289373.0284196971,292908.05340044206,297002.6952871956,301714.79133078695,302902.8761569934,303077.7141470037,303201.0611962274,304879.7326469791,307506.3404821183,310900.1967434988,314889.07408993354,318152.01933829027,320435.45960421785,322749.7428043869,326203.68438603857,329925.76251310395,331819.57556764496,331222.70554269524,329130.0478570475,328096.9126358875,328708.5407336965,330884.4506572581,333315.3583420666,335611.64639835595,338763.64748682536,343004.3545756488,348509.6192986415,353727.5803238565,359555.6698816057,365107.15125319705,371413.8486717162,376621.8926971133,382075.0153209387,386621.7073729853,391688.0147651912,395239.9066648897,398799.3712803907,401166.2286512077,403529.7280849078,405413.4835504962,408667.8766273637,412711.8804212094,418475.726909328,424317.0733506305,431445.38629438303,437297.4602651436,441840.7575474512,444729.4273664107,447317.77018159983,449672.8952861787,451657.7709194326,452705.6788950071,453945.0712504159,455980.72003596247,459213.80722478376,462920.25200060086,465469.1113550968,466911.6370914251,467527.5438403887,469031.5308855625,471977.1339338737,475803.3751281155,478999.8053917757,481312.983879467,481785.6981538078,484756.6645086443,488225.4696545629,494334.91636043,499553.3462019759,505194.459996826,510126.050735191,513333.27951387,514899.1855661668,514756.2472831372,514450.120543776,515072.17236717214,516759.6182962158,517357.2586347467,516199.58005580446,513536.7578295718,510752.0915619068,509615.2163766006,508685.5963704982,508042.52816587983,504818.5003130231,501237.2099124274,497615.9390883119,495602.2730011328,494428.89995395934,495517.0485957544,497659.6021987172,500746.2905129115,502598.4450639376,505820.17900269286,508910.8796626453,512301.428327644,514281.6406829098,515521.82013124414,518359.6756312539,522285.24285314255,525147.1392984095,524504.0317677525,521764.83808237343,519320.4930204342,519143.4591770956,519540.1373479716,521703.001683213,522466.2428519679,521289.6647534701,518347.9542882359,516290.17757014855,517150.969515413,519352.6050369742,521349.0780744359,522437.2114484245,523595.2630958245,525785.9379181542,528336.609459558,530185.320109136,533116.2981812966,536728.468371363,540077.3512265756,14.0
9,11208,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,258467.5601615298,257382.1798357733,256141.17973077847,256187.38523191496,256955.23756648396,256463.17440649736,254940.0418168411,253759.1010555341,254768.05377595013,256912.96947435188,258569.6648412157,259296.1327727141,260145.21704349565,262025.99313496868,263575.89553614816,265924.2549418667,266832.2560653915,267079.83276830363,264538.00746740634,262511.6674274664,264387.7954889109,269084.45245594415,274805.805318218,277725.82907415926,280274.75270393863,282389.64132666984,285641.4105582379,289789.5563964991,295143.11169164785,298231.70600773353,298922.20885293675,297593.41785468097,298213.6607930703,299394.6993312476,301125.637401896,302048.77270796924,300797.62862722785,299488.48309380375,299139.45840076654,302368.23482611653,305451.33114589244,306262.32912150514,306462.06166295166,308199.8672449686,312819.08688652347,318677.8415202214,323394.0657404352,328008.03765143617,330941.3431362761,333606.2724155018,335351.26843294216,338033.9801857744,339765.6001689805,340462.208405269,339556.4897123734,340032.7358264484,340580.35861642414,341714.9593230827,343414.2278456821,347653.26571601065,351802.4074168936,355885.9753989584,358274.7294108076,362411.1371845785,366491.5519522145,370787.3502773508,374149.7059975402,377891.4696306798,381515.2604313777,385420.4647057392,386553.33472953126,387148.9399605948,386487.55821807263,388161.2640685117,390732.2024997852,393245.8164676105,394858.31991048,395965.6546341183,398262.81512883306,401583.072870852,404859.8808372903,407364.9867708963,410244.1852192919,411796.76215346734,413879.0894200209,415037.0317662758,416708.9433953073,417385.9463426532,417889.75433932507,419209.18514130847,419539.3636607658,417559.6893531805,413821.4657513023,410413.7683839174,409981.3625229091,410508.61067262734,412699.152502119,414620.01080909214,416601.5502012097,417124.0463717547,417152.2035788577,417016.5774563603,415494.44977694267,411382.4826334419,405840.4827720344,401828.9535228119,399848.81335768726,398329.27584769,397572.3330991408,396963.30842497945,398453.221157603,399889.759927102,402551.3422083098,404062.9696930366,407604.3672407193,412949.2100172594,420195.7701734058,427751.41927947657,432975.8558438895,436396.5913097495,433752.4088021978,427893.0192840642,419576.01883562887,413713.7146894415,410329.2081359851,409669.3941081888,409015.6504115273,407234.9506565588,403385.3214291071,399783.3562348564,398396.22996112605,399302.0551188272,400137.66165324295,397366.869912765,394629.6189926703,396063.83520297153,404676.8096086639,414895.1315226849,421068.9206653947,422478.2093110212,420776.53958688624,9.0
16,11236,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,196988.05336224087,196924.05065941243,196364.5599569601,195633.1564936198,195167.22820926123,194763.1431041273,194850.14584428573,195208.3278388792,196229.85460366207,197118.86241532955,198632.8536482451,200188.15857500437,202176.57918374488,203435.52700114847,203747.48903467052,203438.7492961268,203174.49133258083,204113.3868180567,205143.8765093768,206310.0310092941,208460.22932009856,210297.3775001832,212766.58147837225,214473.85554965053,216452.85247876216,217392.91918807864,217163.88882354044,217140.1566688504,217265.5194599719,216782.6773245725,216421.94669478107,215483.11552278177,216159.35869354344,216989.95888121668,219477.4201269392,221280.1059940084,221502.85516387975,219698.9862246538,217367.4950667609,216509.70334503197,216061.9789632852,215631.13262040287,215209.77370020936,215516.93325020932,217407.53431344812,219824.9321242556,222791.92799275037,225306.34095832883,226879.29627001385,227818.8875210808,229026.53222560883,231177.3277764699,234362.08419526435,237430.57148016765,240187.87044469625,242189.23237585757,243258.6981028817,243671.50401322576,244593.7030290064,246845.46613857345,249155.01606974835,251075.97670105097,252389.30849573915,254364.33186276435,256604.62259784472,258962.37339201107,261647.7024143864,264323.3773569178,267090.3091928327,269252.16458295373,269747.267432699,269667.45969272027,270087.14473590325,272965.7945623613,276602.7006919999,279292.2563010142,281049.6483244119,282862.9454878905,285400.6503562986,287882.7216361389,289984.0736138863,291775.4159491691,292823.7534533883,293748.8049270056,297470.55702789134,303665.099714593,310785.9567214206,315830.75857869734,319729.9499036595,323873.3404320726,327708.0256664619,331097.62643244065,332863.1738693901,334731.2842218203,337800.88739912724,341776.60427444323,344579.691777316,345620.5488529111,345806.35917694395,346486.0883387704,346726.06488097843,346094.3841476531,343113.16885218275,339361.47711345606,336527.5838027309,335514.9367141426,336022.15047846735,336871.5223311979,339028.5006187588,341118.3274302233,344075.4360915358,346944.0136991705,350976.018700453,354197.32332029426,356133.4348417499,356588.1092665888,356342.3892115049,357662.67963701143,359691.8793421765,361865.51281880494,365579.5915814643,370760.2013035647,377002.4791191069,381040.3694642767,382625.2313039295,384473.6870017297,386292.6954766453,387958.2906295008,387394.0181013407,386406.0296402735,386000.74467950704,386139.2945611425,383966.21288224775,379460.12391379726,374605.5082992798,375432.18379349326,381723.3355079373,391147.0170821108,399680.9898307948,405268.5106579831,408301.7737166632,8.0
17,10467,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,166783.37748448236,167844.50939581974,170657.44744027033,176874.11821879042,183138.30174650124,188412.412045832,191668.40783031657,191664.43186779265,191020.35583664663,191046.9347711656,192368.7617533824,193377.26105823583,193643.93083788324,192694.1015970065,190444.58413712637,188039.4210456966,187807.5927611353,189173.16764320832,190669.8958906719,191185.11439643023,190930.6795101806,191939.79724516705,193656.3544974484,195746.51804872963,196443.0268752649,195277.33973826104,192112.86367475727,189064.41764180004,187679.6485028337,187374.92917661427,187509.2057442825,186675.17078143745,186323.59726023945,186693.57774985567,187691.23187234983,187526.16342021432,184978.39113061107,180407.70146161577,176327.8613581484,173294.38411107849,172258.07616165644,172304.06930952263,172588.57139040923,173742.62626401134,175895.35640227297,179955.53838729547,183908.1688711748,188514.20461247693,193237.28683164835,197023.295420883,198647.41816473476,198495.5928367001,198534.44068022832,199325.86775823325,199970.1852587354,200980.7683888492,202852.95881133564,205519.40890351645,208219.34662611308,209922.5107043212,211110.6755433878,212469.7331529934,213820.64045095944,215979.0976839061,216467.5878786616,216719.22276222435,215352.3424384518,215663.1965175307,214895.4009002802,217750.66857844056,220655.0798207043,225017.11267347375,227820.1851846259,228346.1189557565,227648.80705007276,227293.13592426092,227590.37881640575,227248.8723803256,226241.2525104703,225369.211584572,226581.9394404264,226334.7043668835,226553.09833397332,226699.2262477534,226671.71173518625,224919.2000837015,220546.8325210657,215609.5502107397,211967.0216228057,209813.6581910457,207754.00504804112,206339.38011236468,204734.4394151289,204928.42782548585,207595.8949684132,210736.57967744395,214600.1959799252,215998.19846840063,216386.7475480924,215724.16229882053,215001.2886278504,214958.99002817925,215465.5196183885,216198.32982350263,218286.77835773453,219917.1307749194,221917.91264753035,224765.02325043784,229239.3089370485,235413.85444516732,242455.36939934528,247880.4575713335,251855.01136035065,252614.3337484837,250015.4191243057,244745.01762123275,237778.93601569545,234075.75878707087,231239.17065622492,229536.61652254744,230162.36016825787,235343.29893259608,243508.6913485325,249478.8381288765,251164.71657996788,251205.4844009549,249459.2974862968,246456.0869101896,241284.7066712232,237164.69321680613,234813.807675288,234313.32340501095,231261.2867377633,228307.76706177284,225675.7603640192,226940.33326195076,227792.85747261604,227971.1415004259,228663.07312503565,230856.3682625383,233255.99075123185,11.0
18,11373,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,281442.6470800198,282666.40374996886,284607.1729639822,287399.48587006604,291048.3667315385,295242.20174950775,300678.4539535409,304257.2700258868,304525.7460867699,301063.2358161325,297865.10248910025,296509.83109532314,297116.90802164044,298886.7549340704,300867.6760769814,303212.13243661594,305356.9710737486,309805.1910314096,315280.62800369743,319571.821791033,321246.890498312,320421.6795019602,320866.3667152386,321882.396823009,323550.77571500005,325036.91915326606,327694.9717133283,331811.26864164515,337105.17970555346,341250.3940802383,344937.5511594442,346665.50150693505,347349.88845463045,349307.53367757675,353076.52984043554,356456.65771520155,355826.7108944454,353172.1295567432,351175.9750351606,350882.23380829144,351172.0627365822,351617.49391351704,352747.5738972115,354316.1729243799,355659.39978286315,357763.162363399,360441.25105301646,364744.868639276,367129.7941535704,368836.70216714777,369541.93385710265,371659.3358632413,373892.674849544,377996.1302567656,381987.5671585177,386714.5535621301,389450.3667570947,391389.45519720746,392526.3855926213,395959.8328819457,399455.3795705191,404910.0894449008,408821.5674557656,414010.3779528256,416023.1272101784,416212.8442820877,413489.2731843183,412737.4374182599,411194.4897175201,414481.1899000667,419800.3541695282,430005.92461779766,441600.2275004528,450109.7010818466,457035.3315800949,461504.58509357687,466976.9939865577,470921.6141768614,474373.1273177273,478501.9547908918,485360.788242845,489792.7542295182,490588.16019451135,487701.5050682321,488225.8668346157,492821.1299690962,499732.1962342599,504636.575498706,508068.1904288147,510995.93633965374,515955.5450761868,520891.4666203967,524022.51401470415,524505.281898829,526886.9158981222,528542.5802773788,531401.3631542536,530745.1990926611,527995.8209759289,523981.55593503074,520905.8824628873,520472.9960900442,514641.85122730833,504905.6369716797,495086.85216986615,489942.3826920174,486378.6460635163,483592.3143173514,479938.0108903476,479058.6912826773,479649.4361867672,480032.8407859746,480427.9544575303,478403.2762189644,479084.6331609432,479229.2079624456,478918.0553249062,477988.5317026911,475936.4277408556,474099.0036003627,473434.3075219048,476450.89565012587,481317.6810300555,484965.1656404677,485675.2471625358,487363.9997461093,486160.6345683392,480867.4938694008,471544.21789944585,463577.1456776417,457478.43161898974,451668.9800478905,445408.628480582,443771.9812615903,445661.7817709525,445614.7899438103,439724.2642320367,428124.7903784963,419580.9182034154,413011.7290859383,409090.308548755,13.0
19,11226,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,239360.5865831129,238457.65656335856,238823.91776811253,242273.07615701423,245180.2831698608,246539.7784573017,247883.06040525655,250115.1169114527,253339.91388707343,255669.86278597612,257138.0197697836,259147.6484502073,262973.88497464464,266141.3209155182,266932.84531655256,265772.0898627963,264371.8004643584,263669.49839896377,262388.2370180125,262696.57622876856,264950.6061280132,268578.91585755703,271967.22547330573,275329.7903890755,279693.9712205752,284475.6779412331,289222.0387157008,293714.41819991724,298268.0720817617,300986.4357483288,303668.15087175625,305850.70084975107,309962.49646083073,313713.0405794503,317987.5904620211,322398.11522054905,325570.00495765795,327586.87937875045,328462.26670587546,330671.21672219824,335046.28095289896,339520.78962135647,343147.2020789285,345687.6774264562,349926.7780991948,356193.42532943306,364010.79574817466,373083.0847811889,381028.2695532152,387255.23830316425,391607.926433608,396382.72855433775,400737.5695204804,403434.86561986577,403790.37836067285,403334.365621941,402144.0000415157,401062.4765978092,401272.8642832604,403557.2391470564,406516.5253001943,410228.65280336345,413936.2675822605,419737.8206664024,424295.92610233976,430574.84179341886,436270.0733800866,444630.4406992441,452622.15051304287,461686.4575669525,467719.6152219583,474069.6588668286,483357.4005952856,492227.5748656636,499001.1878484006,503174.7866164737,507967.3768924433,512569.243343843,517464.5726705648,523463.0358625975,532486.3164119283,537238.0512587748,538794.9399801436,535701.0424508926,537451.2623470118,547320.7852960685,560204.9429715414,569648.8970289576,576566.0492598984,583505.5012372358,592641.8987040968,595180.7477190982,594801.4714880547,592170.5401075487,595320.0017875158,598114.8001773603,604101.525607686,606579.626236468,609593.1228650255,611641.1845619775,613359.8911245265,615395.285127344,612496.0921992661,607439.534790848,603156.2096785015,602443.0039000284,603404.9846227576,606452.296081456,607888.7769917672,612846.086833136,617538.3248050333,624455.8834231365,630943.6062639423,633264.6212926899,636271.6981847893,638742.1732048192,641075.7630918806,642502.8284314086,645016.6641228342,648754.9190975004,652526.4532352154,655985.0413326254,663649.2490997915,670095.485460305,676218.5450073916,678489.1503518488,676619.2586891673,669113.5767829119,658155.3537444888,650936.6611804506,643795.4626023426,638283.1128282944,627632.3296978663,617393.9421936474,605535.1799909202,597661.4984784831,591675.9804976197,588621.1435137345,586765.6667843183,585808.7719238551,582932.7828585237,8.0
20,11207,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,218895.020440238,219383.9458559325,219099.5313760409,218390.72695128515,218029.57305021072,218195.59055365188,219514.3565931007,220332.04657715745,220242.8674289456,219513.99675969416,219220.5935998548,219891.1528231333,221439.99094038908,223730.66322123996,225318.2903254813,226059.7576824277,225766.59408360423,226218.38966702484,226442.14471888012,226081.7499091848,225927.7732477172,227015.8804563621,229240.0202160325,231578.5056769628,233292.3621604988,235333.59258024849,237662.05406392092,240897.22072029547,244732.09716342893,247574.53849378365,250312.24948121933,251547.2625007951,252519.25513506564,252244.65698786447,252904.2824971912,254451.59609314144,255676.75642689024,256405.44423736315,257249.3951285072,258540.7550691161,259996.9126026195,260902.45415631132,262301.7336519574,264456.84237856744,267068.6548748634,270919.2437732545,273660.578673011,276804.4984957171,278408.3791486689,279586.0087533418,279548.546249829,279481.1782221229,279401.6874645644,279188.3081467498,278401.00391148595,277458.13293209515,276871.8365827618,276950.4928355613,278667.995208027,281511.960362779,283826.67694641725,286066.54694100254,288044.13604953093,291616.05289599084,294821.4990141664,297214.9870630897,298502.49026830035,299948.7717500949,301475.0575838238,303267.2011742003,303612.15800462547,304268.58640789904,305374.7181611361,307212.98300583,309231.5986384806,310585.1032010773,311982.622664463,312819.94039780326,314254.9450303615,316158.4955989498,319621.7526483652,322439.0600629354,324647.2505466659,326395.4763684552,328049.76868497283,329178.50554954214,328938.25333384454,328719.2645909249,329465.33055215515,331439.1330123886,334088.54456952057,335559.7576648253,335250.3773174455,334108.6669880048,334855.91458249005,336939.1764841396,338833.06453670684,338894.3115441028,338094.37796340726,337311.9626302127,338265.5261281561,338883.736511475,339321.2899429235,337918.364780375,337793.80497506633,337615.69267334155,337531.3853930916,336524.5974014221,335599.99720071297,334365.31327063794,333693.9933788444,333180.6651474684,334067.0574469234,334433.6228689999,334766.2792147922,334851.00514512724,335153.430886164,336639.816052031,338069.20896097674,339021.9535675338,338269.51424565964,337265.42057210865,336418.1940765578,336434.3719798706,336732.86093232693,337388.83624960884,337594.5131652253,336298.30971443467,334404.1348620933,332438.5597602813,332148.9164372797,332232.4346297809,330773.2634376283,328028.70798151585,325829.0548793347,328522.0312774491,334823.4250920333,343432.65461826185,350679.81974388513,356361.2217094547,360096.3511556404,12.0
29,10025,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,754209.6957084561,755046.5992690359,752456.9031153653,748232.1315694224,745003.9907974573,745753.3945275779,746298.923394815,748785.0471839332,753621.5743361996,760179.1503723552,769007.4925020417,777059.657605016,788162.7167114783,794950.7004523383,798163.466860652,797464.2481327743,795598.8066162464,794695.9746418343,792217.9759317306,792825.9776469263,800814.9876507871,817095.6061809334,833647.1412086836,846674.2997269159,859185.3711209212,873843.1621723445,884840.0224653754,891305.1568300892,896423.982136785,903318.9700511778,907044.2308464496,908099.8571605842,913092.2585007576,927196.0617273296,947766.7694511008,966239.4636354708,976309.8068122492,978902.4352520368,973062.4807241424,964112.350555957,956319.996575768,955140.6371522014,956529.5168023524,960505.7331919504,963524.498763268,972968.2827961632,982028.6797170596,992480.7153488728,1001024.5396007244,1010712.9937877904,1019761.87486614,1025463.6410973172,1028756.1830311868,1032586.359785412,1034582.4614105576,1032023.8079302307,1024973.0913686192,1020569.901302768,1017985.21851812,1020081.596472308,1020793.670849875,1027292.2404038548,1034429.5588666928,1047375.2133890633,1051996.3243852078,1058611.6543460914,1057967.2716166433,1062457.2374415928,1058609.216126696,1056689.605729953,1045056.2271146988,1039856.0185914128,1039522.970820802,1042038.9281326664,1046859.4687263122,1056953.4666797605,1072722.9627848526,1088872.9381929436,1097802.0727639392,1104350.7753015098,1117359.3913951935,1129146.7556473296,1134551.2285666054,1130240.0111646843,1116742.9425816953,1108553.68583938,1094162.3876587283,1087204.9291472605,1086296.2198583528,1089858.6016526257,1100456.309515818,1102700.637304523,1100704.060202805,1091777.7966337877,1097766.3398371744,1103855.0477722026,1113675.744085741,1110149.9211045525,1110046.1357592952,1105117.5980705305,1104187.271706544,1097094.144541407,1087800.0088908917,1076463.9616035188,1076768.9537859447,1079856.6355196957,1082036.0428104298,1081895.3853482795,1082878.174256201,1087344.6011249814,1090730.8163523108,1089853.822396896,1090834.9267308002,1091152.8117256642,1098038.4031514048,1104029.094506229,1106650.398891254,1110436.16479105,1118027.2204667989,1128132.358609557,1137996.0768880225,1146653.7374968668,1171492.3067623542,1192523.755321374,1214275.547623685,1222625.7656196936,1218055.321398537,1196374.7112020445,1162544.1433410891,1136165.008027287,1112238.0013849714,1090012.213718638,1068269.0122928529,1052756.6777392116,1041853.3801918776,1034098.074272239,1031750.0032265052,1030245.3366213556,1028712.8718526224,1022947.1448666444,1018005.6267027383,24.0
32,11214,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,418854.1322138244,420630.1752025287,421362.8416873261,421733.4160382564,421761.51131456025,421882.4584918542,423495.2631418993,424723.0799142257,426857.12146618223,429395.16586965113,432987.118760916,436276.40450887376,439882.28836813726,444498.3074323773,447954.0345145378,449374.00683862175,449522.6095989196,451268.2066919114,454790.12286490697,458276.8720998261,463307.1762624029,468361.1833736209,474027.58340721927,476903.2435550728,479894.0358955457,483777.2620116205,489766.9869551686,494886.0008105254,500362.50190806674,503917.1353575,507440.7213485968,506734.4453385376,507608.8788210744,509630.0016953142,514578.1632617353,518003.4087495631,517474.853257539,515067.2130966197,512879.8361748388,512621.8994738686,514059.4677600895,515441.735266798,518616.052292441,521671.5491735999,525723.5027779548,531596.3703085462,538170.9815137205,544442.5621741406,547205.2365943253,548670.4268762477,550789.4572639703,555089.8676361627,560754.8976419399,566584.5944159398,572279.2934948686,576618.9257352286,578192.461456023,578032.4621961984,578993.4692795167,582080.799323358,584654.9366466915,589751.1085520168,595742.9441344063,606607.1894486123,612404.5251135965,615860.0777669718,612744.2809161007,611984.7810034788,610745.1221562185,615871.2986051597,619569.7222525048,624863.9121102073,629073.4127253477,631037.8073961799,633915.7826692123,638755.5810485149,647299.445059824,653886.3239794975,658887.3905220657,663671.7417815146,672412.828554096,678147.2011636687,679243.553837015,675075.3180058509,668877.0704428168,664748.1669466804,657520.8203831706,649663.5499731418,643466.0550530673,641937.403526221,643661.1500692697,642742.0961170287,639878.9579088883,634629.6895504448,637191.9033005204,641880.1607708131,649461.6197799077,649571.5220466539,646761.6465149052,643315.3314858172,640404.3523382467,640310.9395357813,635446.1457588222,628118.8548228677,621815.0763448817,618498.994258034,618600.9822759819,617979.3848468076,617279.4715672396,620427.2824940415,626366.6091489432,631523.8041259873,633695.2952556647,629142.8219569345,621271.7766666235,608773.1428978789,596202.2688562169,588261.9892133895,584188.5854574625,582421.9296464882,581053.9447515153,582594.196258755,586346.3705091457,589969.549567704,590243.4847816176,589116.9185692678,587310.6775575912,583104.4834563554,576245.4348697058,568383.468325472,561522.0896608601,555647.086221967,545485.1223726977,535980.0994855241,527722.4246441168,527088.0282295608,528746.0042606984,530125.0734720882,531328.9548927508,531895.549648583,531393.2371961983,9.0
